,Name,Age,Photo,Nationality,Flag,,Potential,Club,Club Logo,Value(£),,,,,,,,,,,
14,Marcos Llorente,27,https://cdn.sofifa.net/players/226/161/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,48000000,,,,,,,,,,,
15,R. De Paul,28,https://cdn.sofifa.net/players/212/616/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,84,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,42000000,,,,,,,,,,,
16,I. Perišić,33,https://cdn.sofifa.net/players/181/458/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,,84,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,26500000,,,,,,,,,,,
17,F. de Jong,25,https://cdn.sofifa.net/players/228/702/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,116500000,,,,,,,,,,,
18,A. Griezmann,31,https://cdn.sofifa.net/players/194/765/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,30500000,,,,,,,,,,,
19,J. Cuadrado,34,https://cdn.sofifa.net/players/193/082/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,,83,Juventus,https://cdn.sofifa.net/teams/45/30.png,13500000,,,,,,,,,,,
20,F. Kostić,29,https://cdn.sofifa.net/players/208/574/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,53000000,,,,,,,,,,,
21,T. Alexander-Arnold,23,https://cdn.sofifa.net/players/231/281/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,100500000,,,,,,,,,,,
22,L. Suárez,35,https://cdn.sofifa.net/players/176/580/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,84,Club Nacional de Football,https://cdn.sofifa.net/teams/111325/30.png,18000000,,,,,,,,,,,
23,A. Hakimi,23,https://cdn.sofifa.net/players/235/212/23_60.png,Morocco,https://cdn.sofifa.net/flags/ma.png,,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,53500000,,,,,,,,,,,
24,M. Brozović,29,https://cdn.sofifa.net/players/216/352/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,,86,Inter,https://cdn.sofifa.net/teams/44/30.png,58000000,,,,,,,,,,,
25,M. Salah,30,https://cdn.sofifa.net/players/209/331/23_60.png,Egypt,https://cdn.sofifa.net/flags/eg.png,,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,115500000,,,,,,,,,,,
26,S. Tonali,22,https://cdn.sofifa.net/players/241/096/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,62500000,,,,,,,,,,,
27,Thiago,31,https://cdn.sofifa.net/players/189/509/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,86,Liverpool,https://cdn.sofifa.net/teams/9/30.png,55500000,,,,,,,,,,,
28,R. James,22,https://cdn.sofifa.net/players/238/074/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,88,Chelsea,https://cdn.sofifa.net/teams/5/30.png,57000000,,,,,,,,,,,
29,Jordi Alba,33,https://cdn.sofifa.net/players/189/332/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,85,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,28000000,,,,,,,,,,,
30,T. Lemar,26,https://cdn.sofifa.net/players/213/565/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,86,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,47000000,,,,,,,,,,,
31,Renato Sanches,24,https://cdn.sofifa.net/players/230/767/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,86,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,33000000,,,,,,,,,,,
32,Canales,31,https://cdn.sofifa.net/players/190/286/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,84,Real Betis Balompié,https://cdn.sofifa.net/teams/449/30.png,35000000,,,,,,,,,,,
33,I. Bennacer,24,https://cdn.sofifa.net/players/226/754/23_60.png,Algeria,https://cdn.sofifa.net/flags/dz.png,,86,AC Milan,https://cdn.sofifa.net/teams/47/30.png,40000000,,,,,,,,,,,
34,Alex Telles,29,https://cdn.sofifa.net/players/212/462/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,80,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,18500000,,,,,,,,,,,
35,R. Malinovskyi,29,https://cdn.sofifa.net/players/231/969/23_60.png,Ukraine,https://cdn.sofifa.net/flags/ua.png,,82,Atalanta,https://cdn.sofifa.net/teams/39/30.png,30500000,,,,,,,,,,,
36,W. McKennie,23,https://cdn.sofifa.net/players/238/744/23_60.png,United States,https://cdn.sofifa.net/flags/us.png,,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,31500000,,,,,,,,,,,
37,Casemiro,30,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,89,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,86000000,,,,,,,,,,,
38,Angeliño,25,https://cdn.sofifa.net/players/220/651/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,85,TSG Hoffenheim,https://cdn.sofifa.net/teams/10029/30.png,42000000,,,,,,,,,,,
39,F. Kessié,25,https://cdn.sofifa.net/players/230/938/23_60.png,Côte d'Ivoire,https://cdn.sofifa.net/flags/ci.png,,86,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,47500000,,,,,,,,,,,
40,L. Digne,28,https://cdn.sofifa.net/players/200/458/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,82,Aston Villa,https://cdn.sofifa.net/teams/2/30.png,27500000,,,,,,,,,,,
41,R. Lewandowski,33,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,,91,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,84000000,,,,,,,,,,,
42,22 A. Vidal,34,https://cdn.sofifa.net/players/181/872/22_60.png,Chile,https://cdn.sofifa.net/flags/cl.png,,81,Inter,https://cdn.sofifa.net/teams/44/30.png,12000000,,,,,,,,,,,
43,N. De la Cruz,25,https://cdn.sofifa.net/players/240/699/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,79,River Plate,https://cdn.sofifa.net/teams/1876/30.png,16500000,,,,,,,,,,,
44,C. Nkunku,24,https://cdn.sofifa.net/players/232/411/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,94000000,,,,,,,,,,,
45,K. Walker,32,https://cdn.sofifa.net/players/188/377/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,37500000,,,,,,,,,,,
46,T. Hernández,24,https://cdn.sofifa.net/players/232/656/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,76000000,,,,,,,,,,,
47,İ. Gündoğan,31,https://cdn.sofifa.net/players/186/942/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,44000000,,,,,,,,,,,
48,B. Bourigeaud,28,https://cdn.sofifa.net/players/214/097/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,81,Stade Rennais FC,https://cdn.sofifa.net/teams/74/30.png,26000000,,,,,,,,,,,
49,R. Gosens,27,https://cdn.sofifa.net/players/223/697/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,82,Inter,https://cdn.sofifa.net/teams/44/30.png,29500000,,,,,,,,,,,
50,G. Wijnaldum,31,https://cdn.sofifa.net/players/181/291/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,,80,Roma,https://cdn.sofifa.net/teams/52/30.png,17500000,,,,,,,,,,,
51,C. Tolisso,27,https://cdn.sofifa.net/players/219/683/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,81,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,27500000,,,,,,,,,,,
52,H. Kane,28,https://cdn.sofifa.net/players/202/126/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,89,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,105500000,,,,,,,,,,,
53,Koke,30,https://cdn.sofifa.net/players/193/747/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,83,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,34500000,,,,,,,,,,,
54,J. Tavernier,30,https://cdn.sofifa.net/players/195/479/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,78,Rangers FC,https://cdn.sofifa.net/teams/86/30.png,12000000,,,,,,,,,,,
55,J. Henderson,32,https://cdn.sofifa.net/players/183/711/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,83,Liverpool,https://cdn.sofifa.net/teams/9/30.png,28500000,,,,,,,,,,,
56,L. Messi,35,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,91,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,54000000,,,,,,,,,,,
57,M. Verratti,29,https://cdn.sofifa.net/players/199/556/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,77500000,,,,,,,,,,,
58,M. Uribe,31,https://cdn.sofifa.net/players/214/047/23_60.png,Colombia,https://cdn.sofifa.net/flags/co.png,,81,FC Porto,https://cdn.sofifa.net/teams/236/30.png,21000000,,,,,,,,,,,
59,F. Valverde,23,https://cdn.sofifa.net/players/239/053/23_60.png,Uruguay,https://cdn.sofifa.net/flags/uy.png,,90,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,66000000,,,,,,,,,,,
60,S. Mané,30,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,99500000,,,,,,,,,,,
61,L. Ocampos,27,https://cdn.sofifa.net/players/205/632/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,27500000,,,,,,,,,,,
62,Lucas Paquetá,24,https://cdn.sofifa.net/players/233/927/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,87,Olympique Lyonnais,https://cdn.sofifa.net/teams/66/30.png,46000000,,,,,,,,,,,
63,Sergi Darder,28,https://cdn.sofifa.net/players/202/648/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,82,RCD Espanyol de Barcelona,https://cdn.sofifa.net/teams/452/30.png,30500000,,,,,,,,,,,
64,Y. Tielemans,25,https://cdn.sofifa.net/players/216/393/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,,86,Leicester City,https://cdn.sofifa.net/teams/95/30.png,52500000,,,,,,,,,,,
65,Fred,29,https://cdn.sofifa.net/players/209/297/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,80,Manchester United,https://cdn.sofifa.net/teams/11/30.png,20500000,,,,,,,,,,,
66,Bernardo Silva,27,https://cdn.sofifa.net/players/218/667/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,97500000,,,,,,,,,,,
67,Grimaldo,26,https://cdn.sofifa.net/players/210/035/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,85,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,36500000,,,,,,,,,,,
68,Carlos Soler,25,https://cdn.sofifa.net/players/234/153/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,88,Valencia CF,https://cdn.sofifa.net/teams/461/30.png,53000000,,,,,,,,,,,
69,Diogo Jota,25,https://cdn.sofifa.net/players/224/458/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,76000000,,,,,,,,,,,
70,J. Bellingham,19,https://cdn.sofifa.net/players/252/371/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,91,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,81500000,,,,,,,,,,,
71,G. Kondogbia,29,https://cdn.sofifa.net/players/201/455/23_60.png,Central African Republic,https://cdn.sofifa.net/flags/cf.png,,82,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,29500000,,,,,,,,,,,
72,K. Trippier,31,https://cdn.sofifa.net/players/186/345/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,84,Newcastle United,https://cdn.sofifa.net/teams/13/30.png,30500000,,,,,,,,,,,
73,19 C. Marchisio,31,https://cdn.sofifa.net/players/173/210/19_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,84,Juventus,https://cdn.sofifa.net/teams/45/30.png,19500000,,,,,,,,,,,
74,T. Delaney,30,https://cdn.sofifa.net/players/193/283/23_60.png,Denmark,https://cdn.sofifa.net/flags/dk.png,,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,21500000,,,,,,,,,,,
75,K. Mbappé,23,https://cdn.sofifa.net/players/231/747/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,95,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,190500000,,,,,,,,,,,
76,S. Obisanya,22,https://cdn.sofifa.net/players/269/765/23_60.png,Nigeria,https://cdn.sofifa.net/flags/ng.png,,88,AFC Richmond,https://cdn.sofifa.net/teams/116418/30.png,52500000,,,,,,,,,,,
77,Yuri Berchiche,32,https://cdn.sofifa.net/players/183/512/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,82,Athletic Club de Bilbao,https://cdn.sofifa.net/teams/448/30.png,21000000,,,,,,,,,,,
78,J. Corona,29,https://cdn.sofifa.net/players/193/165/23_60.png,Mexico,https://cdn.sofifa.net/flags/mx.png,,81,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,25500000,,,,,,,,,,,
79,L. Robertone,25,https://cdn.sofifa.net/players/235/008/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,80,Unión Deportiva Almería,https://cdn.sofifa.net/teams/1861/30.png,10500000,,,,,,,,,,,
80,M. Sabitzer,28,https://cdn.sofifa.net/players/204/923/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,80,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,21000000,,,,,,,,,,,
81,H. Çalhanoğlu,28,https://cdn.sofifa.net/players/208/128/23_60.png,Turkey,https://cdn.sofifa.net/flags/tr.png,,84,Inter,https://cdn.sofifa.net/teams/44/30.png,42000000,,,,,,,,,,,
82,Rúben Neves,25,https://cdn.sofifa.net/players/224/293/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,86,Wolverhampton Wanderers,https://cdn.sofifa.net/teams/110/30.png,47500000,,,,,,,,,,,
83,Ó. Trejo,34,https://cdn.sofifa.net/players/173/030/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,79,Rayo Vallecano,https://cdn.sofifa.net/teams/480/30.png,8000000,,,,,,,,,,,
84,K. Demirbay,28,https://cdn.sofifa.net/players/211/748/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,81,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,25500000,,,,,,,,,,,
85,R. Guerreiro,28,https://cdn.sofifa.net/players/209/889/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,82,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,27500000,,,,,,,,,,,
86,A. Davies,21,https://cdn.sofifa.net/players/234/396/23_60.png,Canada,https://cdn.sofifa.net/flags/ca.png,,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,60500000,,,,,,,,,,,
87,D. Wass,33,https://cdn.sofifa.net/players/172/522/23_60.png,Denmark,https://cdn.sofifa.net/flags/dk.png,,79,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,11000000,,,,,,,,,,,
88,T. Koopmeiners,24,https://cdn.sofifa.net/players/240/679/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,,84,Atalanta,https://cdn.sofifa.net/teams/39/30.png,30000000,,,,,,,,,,,
89,J. Veretout,29,https://cdn.sofifa.net/players/201/519/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,79,Olympique de Marseille,https://cdn.sofifa.net/teams/219/30.png,15000000,,,,,,,,,,,
90,P. Pogba,29,https://cdn.sofifa.net/players/195/864/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,52500000,,,,,,,,,,,
91,Jesús Navas,36,https://cdn.sofifa.net/players/146/536/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,83,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,8000000,,,,,,,,,,,
92,Ricardo Pereira,28,https://cdn.sofifa.net/players/210/243/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,83,Leicester City,https://cdn.sofifa.net/teams/95/30.png,33000000,,,,,,,,,,,
93,Fabinho,28,https://cdn.sofifa.net/players/209/499/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,88,Liverpool,https://cdn.sofifa.net/teams/9/30.png,77000000,,,,,,,,,,,
94,Saúl,27,https://cdn.sofifa.net/players/208/421/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,81,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,24000000,,,,,,,,,,,
95,L. Martínez,24,https://cdn.sofifa.net/players/231/478/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,90,Inter,https://cdn.sofifa.net/teams/44/30.png,98500000,,,,,,,,,,,
96,Parejo,33,https://cdn.sofifa.net/players/189/513/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,86,Villarreal CF,https://cdn.sofifa.net/teams/483/30.png,42000000,,,,,,,,,,,
97,G. Lo Celso,26,https://cdn.sofifa.net/players/226/226/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,83,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,31500000,,,,,,,,,,,
98,Roberto Firmino,30,https://cdn.sofifa.net/players/201/942/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,83,Liverpool,https://cdn.sofifa.net/teams/9/30.png,35500000,,,,,,,,,,,
99,C. Biraghi,29,https://cdn.sofifa.net/players/201/389/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,80,Fiorentina,https://cdn.sofifa.net/teams/110374/30.png,18500000,,,,,,,,,,,
100,Cristiano Ronaldo,37,https://cdn.sofifa.net/players/020/801/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,,90,Manchester United,https://cdn.sofifa.net/teams/11/30.png,41000000,,,,,,,,,,,
101,F. Mendy,27,https://cdn.sofifa.net/players/228/618/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,84,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,38000000,,,,,,,,,,,
102,Neymar Jr,30,https://cdn.sofifa.net/players/190/871/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,89,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,99500000,,,,,,,,,,,
103,G. Bale,32,https://cdn.sofifa.net/players/173/731/23_60.png,Wales,https://cdn.sofifa.net/flags/gb-wls.png,,81,Los Angeles FC,https://cdn.sofifa.net/teams/112996/30.png,20500000,,,,,,,,,,,
104,R. Andrich,27,https://cdn.sofifa.net/players/212/242/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,82,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,26500000,,,,,,,,,,,
105,K. Laimer,25,https://cdn.sofifa.net/players/225/375/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,,84,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,38500000,,,,,,,,,,,
106,M. Reus,33,https://cdn.sofifa.net/players/188/350/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,85,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,33500000,,,,,,,,,,,
107,M. Arnold,28,https://cdn.sofifa.net/players/206/511/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,81,VfL Wolfsburg,https://cdn.sofifa.net/teams/175/30.png,20500000,,,,,,,,,,,
108,N. Kanté,31,https://cdn.sofifa.net/players/215/914/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,89,Chelsea,https://cdn.sofifa.net/teams/5/30.png,72000000,,,,,,,,,,,
109,A. Robertson,28,https://cdn.sofifa.net/players/216/267/23_60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,,87,Liverpool,https://cdn.sofifa.net/teams/9/30.png,72000000,,,,,,,,,,,
110,A. Florenzi,31,https://cdn.sofifa.net/players/203/551/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,79,AC Milan,https://cdn.sofifa.net/teams/47/30.png,12500000,,,,,,,,,,,
111,17 S. Gerrard,36,https://cdn.sofifa.net/players/013/743/17_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,81,LA Galaxy,https://cdn.sofifa.net/teams/697/30.png,1400000,,,,,,,,,,,
112,Y. Carrasco,28,https://cdn.sofifa.net/players/208/418/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,54500000,,,,,,,,,,,
113,Anderson Talisca,28,https://cdn.sofifa.net/players/212/523/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,82,Al Nassr,https://cdn.sofifa.net/teams/112139/30.png,31000000,,,,,,,,,,,
114,Lucas Vázquez,31,https://cdn.sofifa.net/players/208/618/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,,81,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,18500000,,,,,,,,,,,
115,Oscar,30,https://cdn.sofifa.net/players/188/152/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,81,Shanghai Port FC,https://cdn.sofifa.net/teams/112540/30.png,25000000,,,,,,,,,,,
116,Renan Lodi,24,https://cdn.sofifa.net/players/251/573/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,,85,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,29500000,,,,,,,,,,,
117,M. Faraoni,30,https://cdn.sofifa.net/players/195/272/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,,78,Hellas Verona,https://cdn.sofifa.net/teams/206/30.png,12000000,,,,,,,,,,,
118,T. Savanier,30,https://cdn.sofifa.net/players/205/686/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,81,Montpellier Hérault SC,https://cdn.sofifa.net/teams/70/30.png,25000000,,,,,,,,,,,
119,N. Stanciu,29,https://cdn.sofifa.net/players/212/207/23_60.png,Romania,https://cdn.sofifa.net/flags/ro.png,,79,Wuhan Three Towns,https://cdn.sofifa.net/teams/116361/30.png,17000000,,,,,,,,,,,
120,L. Paredes,28,https://cdn.sofifa.net/players/207/439/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,80,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,18500000,,,,,,,,,,,
121,J. Ward-Prowse,27,https://cdn.sofifa.net/players/205/569/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,,82,Southampton,https://cdn.sofifa.net/teams/17/30.png,29500000,,,,,,,,,,,
122,M. Casco,34,https://cdn.sofifa.net/players/215/071/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,,77,River Plate,https://cdn.sofifa.net/teams/1876/30.png,3900000,,,,,,,,,,,
123,R. Nainggolan,34,https://cdn.sofifa.net/players/178/518/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,,76,Royal Antwerp FC,https://cdn.sofifa.net/teams/230/30.png,3500000,,,,,,,,,,,
124,K. Benzema,34,https://cdn.sofifa.net/players/165/153/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,,91,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,64000000,,,,,,,,,,,
125,T. Kroos,32,https://cdn.sofifa.net/players/182/521/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,72000000,,,,,,,,,,,
